OBSERVE_COST,BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.001,0.376,0.182,0.378,0.424,17.16670828685185,-0.996,3.6866007146263526
0.009,0.376,0.274,0.872,0.986,11.278402097536127,-8.783999999999999,5.343959848895773
0.017,0.376,0.274,0.884,0.988,11.34110418449036,-3.5757631449079064,4.3979118951389715
0.025,0.376,0.27,0.878,0.978,9.349908449014025,-4.792636435024515,3.7462796393539834
0.033,0.376,0.278,0.87,0.986,11.09974940842497,-5.636637345322872,3.3603240999797874
0.041,0.376,0.296,0.888,0.986,9.75368796206579,-5.0731514545253775,3.134803750420038
0.049,0.376,0.274,0.856,0.99,7.922870792755404,-5.701979220689201,2.7214282714504003
0.057,0.376,0.242,0.866,0.994,8.14856590587645,-4.422072565371418,2.4125841323989237
0.065,0.376,0.318,0.9,0.998,8.750036843781894,-4.53967334719815,2.3585444396339548
0.073,0.376,0.28,0.868,0.998,9.436998156993697,-6.493070785613504,2.1750627057958365
0.081,0.376,0.308,0.9,1.0,7.6765185604095905,-6.183237111745912,2.04416565235108
0.089,0.376,0.276,0.87,1.0,7.625142906485346,-6.2082902504988144,1.8525689185282743
0.097,0.376,0.292,0.872,1.0,8.201432086818714,-7.54619127390974,1.7058835845609968
0.105,0.376,0.266,0.846,1.0,10.029925381138415,-5.994366348919679,1.5877443785662784
0.113,0.376,0.346,0.872,1.0,7.856621734489946,-8.166519709820673,1.4554310035064741
0.121,0.376,0.338,0.882,1.0,8.06361399328068,-6.874366771145316,1.3901799641583086
0.129,0.376,0.348,0.886,1.0,7.12397580103897,-5.237126160193749,1.3856483274652005
0.137,0.376,0.306,0.86,1.0,6.535530933502355,-5.4137808513097205,1.2237131575149138
0.145,0.376,0.32,0.888,1.0,7.260779070736675,-8.013468436815742,1.239783613963777
0.153,0.376,0.342,0.874,1.0,8.059063390895886,-7.179315303925723,1.1951551577044173
0.161,0.376,0.336,0.87,1.0,7.2139453806475515,-5.613368800583477,0.9964719214579534
0.169,0.376,0.35,0.888,1.0,7.532032522120496,-6.616795209837887,0.9445550785604441
0.177,0.376,0.322,0.886,1.0,6.0634054739137255,-5.142597061932024,0.8742662701203748
0.185,0.376,0.324,0.882,1.0,6.898205170445177,-7.080828629900175,0.8483540869448114
0.193,0.376,0.288,0.868,1.0,5.809574005899549,-4.5525566621823685,0.7800051740282268
0.201,0.376,0.32,0.872,1.0,6.9214328515280545,-5.874450762078615,0.6324804532264798
0.209,0.376,0.354,0.9,1.0,5.79495793135857,-7.6264481581867,0.7349548732074644
