BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.214,0.36,0.62,0.64,8.289457174049563,-3.3160000000000003,3.0221829133780505
0.217,0.42,0.68,0.78,11.070748776942166,-3.06,3.965301743104301
0.22,0.34,0.72,0.74,9.662511513740705,-3.712236653623315,3.572827854045538
0.223,0.38,0.66,0.68,8.040639145387146,-2.428,3.2859973615084757
0.226,0.26,0.76,0.78,9.653178752268044,-1.5058340669084618,3.9698174074927746
0.229,0.44,0.82,0.86,8.641182672458314,-3.8280000000000003,4.3385367684771605
0.232,0.4,0.72,0.74,8.575790251428858,-3.7560000000000002,3.5747000913882965
0.235,0.26,0.58,0.66,7.840926937341068,-3.42,2.916356514606846
0.238,0.34,0.72,0.88,6.668698573681701,-1.56,4.317035891719029
0.241,0.28,0.66,0.72,7.777427229658035,-3.636,3.4906114536782633
0.244,0.42,0.72,0.8,7.87732345826135,-2.916,3.822856046649997
0.247,0.36,0.64,0.7,9.459681710448548,-3.148,3.351655754991674
0.25,0.5,0.76,0.82,9.73606063221132,-1.596,4.565952940064709
0.253,0.42,0.78,0.8,7.592257361396191,-1.516,4.344294026856068
0.256,0.26,0.58,0.66,8.880831015722263,-3.66,3.144777949588065
0.259,0.42,0.82,0.86,8.758091256374541,-1.256,4.7815551844652475
0.262,0.42,0.7,0.8,12.037764339142502,-2.444445499883117,4.380064334619248
0.265,0.32,0.76,0.84,8.563885372338765,-3.3120000000000003,4.688743230938457
0.268,0.4,0.7,0.74,10.159578064693786,-3.34,3.912232528981497
0.271,0.4,0.72,0.78,8.511381220198315,-3.452,3.960218159727434
0.274,0.42,0.7,0.76,8.319126747570603,-3.8320000000000003,4.119056834679876
0.277,0.4,0.72,0.72,10.69276427211798,-3.024,4.11904772390871
0.28,0.26,0.68,0.72,8.501763780129847,-3.616,3.902241005523737
0.283,0.32,0.72,0.78,8.330466239755935,-2.712,4.537327117536779
0.286,0.56,0.78,0.8,9.666943651936405,-3.872,4.586996867340755
0.289,0.32,0.7,0.76,8.551821246183678,-2.86,4.360260619169958
0.292,0.36,0.68,0.76,8.365703356421022,-2.984,4.277162639180145
0.295,0.32,0.66,0.74,8.460307562787047,-2.92,4.097925369990818
0.298,0.36,0.7,0.7,12.076567920519059,-3.92,4.029547045938305
0.301,0.38,0.82,0.84,9.175100991346458,-2.8080000000000003,5.1639010532231415
0.304,0.34,0.7,0.74,10.358147579648092,-3.7525290296277234,4.411197345402658
0.307,0.36,0.72,0.74,9.961308939590074,-2.58,4.304398258091917
0.31,0.38,0.64,0.72,9.646367525356156,-3.12,4.564949558012726
0.313,0.24,0.78,0.78,9.869153736787059,-2.392,4.859423197855266
0.316,0.26,0.58,0.64,10.184939976362124,-3.036,3.545091633646905
0.319,0.18,0.56,0.62,10.415913082359646,-3.716,3.4272222411882676
0.322,0.32,0.74,0.74,10.381417068156498,-3.180575191713465,4.391909339308427
0.325,0.34,0.68,0.7,11.467666090277842,-2.916,4.267376991573496
0.328,0.38,0.74,0.8,7.839711301984642,-2.984,4.90135219914939
0.331,0.36,0.56,0.66,7.511649180669274,-2.504,3.7207642543483286
0.334,0.28,0.76,0.8,10.40328662458667,-3.3000000000000003,5.203605534171414
0.337,0.28,0.7,0.78,13.17920440303343,-3.184,5.054269538806196
0.34,0.34,0.72,0.78,9.255798955978632,-3.8200000000000003,4.749207766796231
0.343,0.24,0.54,0.66,10.946500381337492,-2.908,3.9252987380695448
0.346,0.38,0.68,0.76,10.312880520666774,-3.340983558422674,5.023854954706582
0.349,0.26,0.62,0.68,11.052084926875498,-2.556,4.097605027360451
0.352,0.24,0.58,0.7,13.499957387537215,-3.7760000000000002,4.517239191301576
0.355,0.38,0.76,0.82,9.710201211408352,-3.196,5.697951978708075
0.358,0.32,0.68,0.72,10.078155499576948,-3.716,4.526745224632351
0.361,0.28,0.6,0.66,9.855223736903715,-3.8160000000000003,3.903871269587658
0.364,0.26,0.58,0.68,9.33940443042859,-2.217675066021439,4.119370866816556
0.367,0.24,0.58,0.72,12.956414836585207,-2.9989327798582046,4.801138703143087
0.37,0.3,0.56,0.7,11.734802620415143,-2.864,4.924349700965937
0.373,0.38,0.6,0.7,11.729832704880664,-3.036,4.559119281160354
0.376,0.3,0.68,0.8,9.509561105538694,-2.6146429158169515,5.589173303582242
0.379,0.28,0.52,0.6,8.716532622615778,-3.12,3.675175984902933
0.382,0.36,0.68,0.76,9.833584665907047,-3.1536575901642756,4.992098688914416
0.385,0.28,0.58,0.72,11.343264387091072,-3.568,5.147901423570022
0.388,0.38,0.66,0.76,10.871889408878937,-2.72,5.540203838636423
0.391,0.22,0.62,0.66,11.414581556927521,-2.988,4.47606354534377
