OBSERVE_COST,BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.001,0.001,0.614,1.0,1.0,-0.001,-0.001,-0.0010000000000000007
0.009,0.001,0.918,1.0,1.0,0.8349636521379056,-0.009,-0.006487412782307934
0.017,0.001,0.942,1.0,1.0,-0.017,-0.017,-0.0170000000000001
0.025,0.001,0.954,1.0,1.0,0.803956779046403,-0.025,-0.021923587682624483
0.033,0.001,0.976,1.0,1.0,-0.033,-0.033,-0.032999999999999856
0.041,0.001,0.968,1.0,1.0,-0.041,-0.041,-0.041000000000000286
0.049,0.001,0.984,1.0,1.0,1.8842061746989247,-0.049,-0.0451335876506019
0.057,0.001,0.988,1.0,1.0,1.4299360277848823,-0.057,-0.054026127944429875
0.065,0.001,0.984,1.0,1.0,-0.065,-0.065,-0.06500000000000052
0.073,0.001,0.988,1.0,1.0,-0.0718426795422426,-0.073,-0.07299768535908482
0.081,0.001,0.988,1.0,1.0,0.21616625884594914,-0.081,-0.08040566748230847
0.089,0.001,0.984,1.0,1.0,0.11042899017609673,-0.089,-0.08860114201964706
0.097,0.001,0.992,1.0,1.0,-0.097,-0.097,-0.09700000000000082
0.105,0.001,0.992,1.0,1.0,-0.105,-0.105,-0.10499999999999901
0.113,0.001,0.994,1.0,1.0,-0.113,-0.113,-0.11299999999999964
0.121,0.001,0.984,1.0,1.0,-0.121,-0.121,-0.12100000000000079
0.129,0.001,0.994,1.0,1.0,1.416891161515085,-0.129,-0.12590821767696905
0.137,0.001,0.996,1.0,1.0,-0.137,-0.137,-0.13700000000000043
0.145,0.001,0.99,1.0,1.0,-0.145,-0.145,-0.14500000000000077
0.153,0.001,1.0,1.0,1.0,-0.153,-0.153,-0.15300000000000014
0.161,0.001,0.994,1.0,1.0,-0.161,-0.161,-0.16100000000000103
0.169,0.001,0.99,1.0,1.0,1.7245726229409575,-0.169,-0.1652128547541164
0.177,0.001,0.994,1.0,1.0,-0.177,-0.177,-0.1770000000000016
0.185,0.001,0.992,1.0,1.0,-0.185,-0.185,-0.18500000000000127
0.193,0.001,0.994,1.0,1.0,0.24793565328039735,-0.193,-0.19211812869343797
0.201,0.001,0.996,1.0,1.0,0.03975565127433131,-0.201,-0.2005184886974492
0.209,0.001,0.996,1.0,1.0,0.0015194489067542616,-0.209,-0.2085789611021886
0.217,0.001,0.998,1.0,1.0,-0.217,-0.217,-0.21699999999999897
0.225,0.001,0.998,1.0,1.0,3.5826269034528386,-0.225,-0.21738474619309248
0.233,0.001,0.998,1.0,1.0,0.9245582905172994,-0.233,-0.22755379390019706
0.241,0.001,0.996,1.0,1.0,-0.241,-0.241,-0.2409999999999997
0.249,0.001,0.996,1.0,1.0,-0.04447821113221362,-0.249,-0.2485909564222626
0.257,0.001,0.996,1.0,1.0,-0.257,-0.257,-0.2570000000000021
0.265,0.001,0.99,1.0,1.0,1.5512165434471905,-0.265,-0.2599204879682339
0.273,0.001,1.0,1.0,1.0,-0.273,-0.273,-0.27299999999999863
0.281,0.001,0.992,1.0,1.0,-0.281,-0.281,-0.28100000000000286
0.289,0.001,0.998,1.0,1.0,0.7633277016413957,-0.289,-0.28689534459671695
0.297,0.001,0.996,1.0,1.0,2.2244865720445612,-0.297,-0.2919570268559087
0.305,0.001,0.996,1.0,1.0,-0.305,-0.305,-0.3050000000000039
0.313,0.001,0.996,1.0,1.0,-0.313,-0.313,-0.3129999999999992
0.321,0.001,0.998,1.0,1.0,-0.321,-0.321,-0.3209999999999985
0.329,0.001,0.996,1.0,1.0,-0.329,-0.329,-0.32899999999999935
0.337,0.001,0.998,1.0,1.0,-0.337,-0.337,-0.3369999999999992
0.345,0.001,1.0,1.0,1.0,-0.345,-0.345,-0.34499999999999903
0.353,0.001,0.994,1.0,1.0,-0.2221755894937817,-0.353,-0.35273835117898833
0.361,0.001,0.998,1.0,1.0,-0.03677584032210457,-0.361,-0.36035155168064237
0.369,0.001,0.996,1.0,1.0,-0.369,-0.369,-0.36899999999999983
0.377,0.001,1.0,1.0,1.0,-0.377,-0.377,-0.37700000000000183
0.385,0.001,0.998,1.0,1.0,0.6342288518543819,-0.385,-0.38296154229628976
0.393,0.001,0.998,1.0,1.0,-0.393,-0.393,-0.3930000000000006
0.401,0.001,0.996,1.0,1.0,-0.401,-0.401,-0.4010000000000031
0.409,0.001,1.0,1.0,1.0,-0.13058546981460412,-0.409,-0.4084431709396278
0.417,0.001,0.998,1.0,1.0,-0.417,-0.417,-0.4170000000000014
0.425,0.001,0.998,1.0,1.0,-0.425,-0.425,-0.4250000000000033
0.433,0.001,0.998,1.0,1.0,-0.014708396770883758,-0.433,-0.4321634167935408
0.441,0.001,1.0,1.0,1.0,0.4742382369653169,-0.441,-0.4391695235260714
0.449,0.001,1.0,1.0,1.0,1.2894724182010282,-0.449,-0.44552305516360247
0.457,0.001,1.0,1.0,1.0,-0.457,-0.457,-0.45699999999999563
0.465,0.001,1.0,1.0,1.0,0.12137227698506065,-0.465,-0.46382725544603276
0.473,0.001,0.998,1.0,1.0,-0.473,-0.473,-0.47300000000000564
0.481,0.001,1.0,1.0,1.0,-0.33851063496751266,-0.481,-0.4807150212699314
0.489,0.001,0.998,1.0,1.0,2.165030814345061,-0.489,-0.47891349359036983
0.497,0.001,1.0,1.0,1.0,-0.497,-0.497,-0.4970000000000068
0.505,0.001,1.0,1.0,1.0,-0.505,-0.505,-0.5049999999999969
0.513,0.001,1.0,1.0,1.0,-0.02758049250819583,-0.513,-0.5120291609850202
0.521,0.001,0.994,1.0,1.0,-0.22847667278987066,-0.521,-0.5204149533455737
0.529,0.001,1.0,1.0,1.0,-0.529,-0.529,-0.5289999999999977
0.537,0.001,0.998,1.0,1.0,1.1448114252126502,-0.537,-0.533636377149578
0.545,0.001,0.998,1.0,1.0,-0.1526686117934069,-0.545,-0.5442153372235825
0.553,0.001,1.0,1.0,1.0,-0.35609999278498483,-0.553,-0.5526061999855676
0.561,0.001,1.0,1.0,1.0,3.1389017443603167,-0.561,-0.5536001965112826
0.569,0.001,1.0,1.0,1.0,0.614616748410703,-0.569,-0.5666327665031758
0.577,0.001,0.996,1.0,1.0,-0.577,-0.577,-0.5769999999999983
0.585,0.001,1.0,1.0,1.0,-0.585,-0.585,-0.5849999999999997
0.593,0.001,1.0,1.0,1.0,-0.593,-0.593,-0.592999999999999
0.601,0.001,0.998,1.0,1.0,-0.601,-0.601,-0.6009999999999992
0.609,0.001,0.998,1.0,1.0,-0.2996289413926435,-0.609,-0.608381257882785
0.617,0.001,0.998,1.0,1.0,-0.617,-0.617,-0.6169999999999999
0.625,0.001,1.0,1.0,1.0,2.1960922736986985,-0.625,-0.6186774967503603
0.633,0.001,1.0,1.0,1.0,-0.633,-0.633,-0.6329999999999997
0.641,0.001,1.0,1.0,1.0,-0.42909620238491664,-0.641,-0.640576192404771
0.649,0.001,0.996,1.0,1.0,-0.649,-0.649,-0.6490000000000008
0.657,0.001,1.0,1.0,1.0,-0.657,-0.657,-0.6569999999999993
0.665,0.001,1.0,1.0,1.0,-0.665,-0.665,-0.6650000000000027
0.673,0.001,1.0,1.0,1.0,-0.673,-0.673,-0.6730000000000017
0.681,0.001,1.0,1.0,1.0,0.6780875098083146,-0.681,-0.6782818249803829
0.689,0.001,0.998,1.0,1.0,-0.533629418350282,-0.689,-0.6886892588367022
0.697,0.001,1.0,1.0,1.0,-0.4114493498056909,-0.697,-0.6964288986996138
0.705,0.001,1.0,1.0,1.0,-0.705,-0.705,-0.7049999999999996
0.713,0.001,0.998,1.0,1.0,-0.713,-0.713,-0.7130000000000031
0.721,0.001,1.0,1.0,1.0,-0.43785793250678656,-0.721,-0.7204337158650163
0.729,0.001,1.0,1.0,1.0,-0.729,-0.729,-0.729
0.737,0.001,0.998,1.0,1.0,-0.737,-0.737,-0.7370000000000044
0.745,0.001,1.0,1.0,1.0,-0.745,-0.745,-0.7450000000000035
0.753,0.001,1.0,1.0,1.0,2.8678062961253987,-0.753,-0.7408390101605059
0.761,0.001,1.0,1.0,1.0,-0.4474580473349258,-0.761,-0.7603729160946757
0.769,0.001,1.0,1.0,1.0,-0.769,-0.769,-0.7690000000000043
0.777,0.001,0.998,1.0,1.0,-0.777,-0.777,-0.7769999999999915
0.785,0.001,0.996,1.0,1.0,-0.7480193885694826,-0.785,-0.7849260387771456
0.793,0.001,1.0,1.0,1.0,1.1433242773571877,-0.793,-0.7891273514452909
0.801,0.001,1.0,1.0,1.0,-0.801,-0.801,-0.800999999999992
0.809,0.001,1.0,1.0,1.0,1.063638785713298,-0.809,-0.8052547224285815
0.817,0.001,1.0,1.0,1.0,-0.817,-0.817,-0.8170000000000038
0.825,0.001,1.0,1.0,1.0,-0.825,-0.825,-0.8249999999999929
0.833,0.001,1.0,1.0,1.0,-0.833,-0.833,-0.8330000000000094
0.841,0.001,0.998,1.0,1.0,-0.841,-0.841,-0.8410000000000049
0.849,0.001,1.0,1.0,1.0,2.655222086089281,-0.849,-0.8345431575302287
0.857,0.001,1.0,1.0,1.0,-0.857,-0.857,-0.8570000000000108
0.865,0.001,1.0,1.0,1.0,-0.865,-0.865,-0.8650000000000057
0.873,0.001,1.0,1.0,1.0,0.6614615428968347,-0.873,-0.8680321990049066
0.881,0.001,1.0,1.0,1.0,0.7449050974109137,-0.881,-0.8757041788325347
0.889,0.001,1.0,1.0,1.0,-0.889,-0.889,-0.8890000000000067
0.897,0.001,0.998,1.0,1.0,-0.897,-0.897,-0.8969999999999945
0.905,0.001,0.998,1.0,1.0,-0.905,-0.905,-0.9049999999999887
0.913,0.001,0.998,1.0,1.0,-0.913,-0.913,-0.9130000000000071
0.921,0.001,1.0,1.0,1.0,-0.921,-0.921,-0.9209999999999953
0.929,0.001,1.0,1.0,1.0,-0.929,-0.929,-0.9289999999999891
0.937,0.001,1.0,1.0,1.0,-0.5731561986411662,-0.937,-0.9362723123972905
0.945,0.001,1.0,1.0,1.0,-0.945,-0.945,-0.9449999999999942
0.953,0.001,1.0,1.0,1.0,-0.4407403658252983,-0.953,-0.9519754807316402
0.961,0.001,0.998,1.0,1.0,0.17327591565754796,-0.961,-0.9587314481686938
0.969,0.001,1.0,1.0,1.0,-0.32702231052015196,-0.969,-0.9677160446210354
0.977,0.001,1.0,1.0,1.0,-0.977,-0.977,-0.9769999999999897
0.985,0.001,1.0,1.0,1.0,-0.45030730822375353,-0.985,-0.9839306146164575
0.993,0.001,1.0,1.0,1.0,-0.7245613156407018,-0.993,-0.9924631226312772
0.001,0.009,0.424,0.502,0.502,6.5633309804077316,-0.996,1.0337217069062876
0.009,0.009,0.374,1.0,1.0,2.5268407160616873,-0.009,-0.0009711127726233999
0.017,0.009,0.634,1.0,1.0,1.01346743771762,-0.017,-0.013336515445197752
0.025,0.009,0.73,1.0,1.0,7.035880146059946,-0.025,0.015599551513159256
0.033,0.009,0.768,1.0,1.0,2.1291338867018035,-0.033,-0.027857855860635817
0.041,0.009,0.81,1.0,1.0,2.701577717663298,-0.041,-0.031844785389301085
0.049,0.009,0.834,1.0,1.0,1.337643762397919,-0.049,-0.04284713174668186
0.057,0.009,0.868,1.0,1.0,4.482194940244336,-0.057,-0.03735469385350826
0.065,0.009,0.862,1.0,1.0,2.651627330056525,-0.065,-0.05366800780036945
0.073,0.009,0.898,1.0,1.0,1.2928157518182437,-0.073,-0.06836567681635779
0.081,0.009,0.894,1.0,1.0,1.0340612236821691,-0.081,-0.0772440442544969
0.089,0.009,0.91,1.0,1.0,3.2007638777217937,-0.089,-0.07270368809921196
0.097,0.009,0.92,1.0,1.0,0.6858055610408205,-0.097,-0.09449849688061626
0.105,0.009,0.928,1.0,1.0,0.6924985181051065,-0.105,-0.10194554749577672
0.113,0.009,0.912,1.0,1.0,1.0837762752400337,-0.113,-0.10527807450341484
0.121,0.009,0.946,1.0,1.0,1.3670163692666715,-0.121,-0.11565566728530689
0.129,0.009,0.958,1.0,1.0,1.7873644121595484,-0.129,-0.11671868203985461
0.137,0.009,0.938,1.0,1.0,5.9488322056272676,-0.137,-0.12060251687156057
0.145,0.009,0.932,1.0,1.0,2.030750251397503,-0.145,-0.14064849949720584
0.153,0.009,0.954,1.0,1.0,1.3951263686957016,-0.153,-0.1499037472626086
0.161,0.009,0.944,1.0,1.0,5.666398649404447,-0.161,-0.14624832673437776
0.169,0.009,0.948,1.0,1.0,1.607962765178131,-0.169,-0.1630435058589139
0.177,0.009,0.956,1.0,1.0,1.4584187713215424,-0.177,-0.1670307495016343
0.185,0.009,0.96,1.0,1.0,2.8245587479038186,-0.185,-0.16851397359487333
0.193,0.009,0.956,1.0,1.0,1.8576297762778746,-0.193,-0.18657011077773833
0.201,0.009,0.978,1.0,1.0,2.157942452826944,-0.201,-0.18774325593619384
0.209,0.009,0.97,1.0,1.0,0.0684248873722996,-0.209,-0.20817306308179748
0.217,0.009,0.94,1.0,1.0,2.721253068143232,-0.217,-0.2058875044446941
0.225,0.009,0.97,1.0,1.0,1.8125938623828248,-0.225,-0.2167938107047437
0.233,0.009,0.966,1.0,1.0,2.196664441349588,-0.233,-0.22588941628512643
0.241,0.009,0.976,1.0,1.0,1.9997425488682765,-0.241,-0.23538624855867915
0.249,0.009,0.96,1.0,1.0,4.316232387211687,-0.249,-0.23667243443804423
0.257,0.009,0.97,1.0,1.0,0.3849026205026017,-0.257,-0.25522739216196255
0.265,0.009,0.962,1.0,1.0,0.4147289553086887,-0.265,-0.2627925915251393
0.273,0.009,0.976,1.0,1.0,2.4404916071252947,-0.273,-0.26273880117663573
0.281,0.009,0.96,1.0,1.0,0.7332221143507563,-0.281,-0.2768710307764194
0.289,0.009,0.99,1.0,1.0,1.0557247706226847,-0.289,-0.2851134362693697
0.297,0.009,0.97,1.0,1.0,2.016123895666273,-0.297,-0.2916572787478192
0.305,0.009,0.974,1.0,1.0,1.0266509401108124,-0.305,-0.2999611863518864
0.313,0.009,0.972,1.0,1.0,-0.313,-0.313,-0.3129999999999992
0.321,0.009,0.978,1.0,1.0,-0.321,-0.321,-0.3209999999999985
0.329,0.009,0.978,1.0,1.0,2.4736391240417532,-0.329,-0.3182468146022456
0.337,0.009,0.976,1.0,1.0,0.6564067956459556,-0.337,-0.32979613443663386
