OBSERVE_COST,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.0001,0.037,0.073,0.143,21.005844832568236,-0.1998,1.9027874650338554
0.0011,0.214,0.567,0.589,16.701074064873573,-2.1813000000000002,6.753245678104884
0.0021,0.239,0.793,0.804,17.738350341948546,-4.1643,8.089395285752277
0.0031,0.215,0.88,0.888,14.894882682965989,-6.150399999999999,8.149719750003065
0.0041,0.218,0.942,0.961,15.18713630840154,-7.892500000000001,8.385860877889423
0.0051,0.197,0.92,0.968,16.34599571062827,-8.7057,7.926506141584976
0.0061,0.176,0.915,0.978,14.629329131607674,-11.968200000000001,7.573826118338611
0.0071,0.226,0.919,0.98,13.919087795259516,-13.0782,7.297155433938204
0.0081,0.223,0.933,0.99,14.478516224952203,-10.922987695119446,7.262196926059127
0.0091,0.196,0.917,0.99,13.363656745364583,-12.1006895855002,6.928129059336461
0.0101,0.181,0.93,0.995,13.928555339265571,-10.450041468600173,6.8310164494412
0.0111,0.214,0.922,0.987,15.560479637888593,-14.829600000000001,6.59712377492637
0.0121,0.191,0.921,0.995,12.453400522406897,-9.280655680181885,6.348527063603591
0.0131,0.188,0.931,0.997,12.270678264190105,-3.3935469764978983,6.330646807222577
0.0141,0.191,0.929,0.992,14.175901214053264,-5.1072549371136535,6.191284470256219
0.0151,0.219,0.934,0.995,12.62856978284293,-6.828704373076852,6.098625150004418
0.0161,0.204,0.93,0.992,12.977914150270122,-3.3953920312470167,5.957169662504301
0.0171,0.206,0.915,0.984,13.217014421730907,-10.25485987750948,5.784451065177341
0.0181,0.194,0.928,0.991,15.512959302373982,-5.109636327898799,5.607469497262278
0.0191,0.212,0.953,0.998,12.996154040286864,-7.416500685966498,5.7031825588929665
0.0201,0.179,0.923,0.991,13.026163069714766,-7.985176944723791,5.380786558989195
0.0211,0.198,0.93,0.994,12.747099479745689,-5.161130347279862,5.46188735660194
0.0221,0.215,0.938,0.998,12.660514623668455,-5.620079873734085,5.333097505278501
0.0231,0.219,0.939,0.994,11.607475922389595,-5.690779631394406,5.251578007153585
0.0241,0.174,0.927,0.993,12.807299926444303,-5.313846302707747,5.075187487649201
0.0251,0.192,0.924,0.992,11.562169897796204,-6.308171874533045,5.006789757455459
0.0261,0.208,0.935,0.992,10.87447972928291,-9.000839076289028,4.948588780508386
0.0271,0.223,0.936,0.994,11.731975927373568,-5.314022745598939,4.960582438802496
0.0281,0.22,0.938,0.997,13.016625779958053,-5.021304333350783,4.862493602902081
0.0291,0.239,0.943,0.996,11.891650904595084,-5.478511994109036,4.794899313118019
0.0301,0.194,0.931,0.994,10.848146430304315,-7.2944948541324415,4.57112509937696
0.0311,0.197,0.935,0.998,12.07364341251101,-15.288977375903002,4.664966767824718
0.0321,0.206,0.928,0.994,12.316966998291234,-9.235467257436513,4.473978195655362
0.0331,0.178,0.932,0.996,10.449342486266719,-12.044283576594697,4.507403168638041
0.0341,0.211,0.927,0.994,11.217438949724631,-6.607862904180732,4.403440571355609
0.0351,0.217,0.917,0.996,14.9622502121986,-6.5307389880558695,4.3624988487916045
0.0361,0.217,0.943,0.996,12.31232586057082,-6.618138936730642,4.4082887091532275
0.0371,0.205,0.936,0.991,11.061568750809963,-12.903597419834343,4.250517668811391
0.0381,0.206,0.917,0.999,10.613861950635028,-4.229489577185372,4.182120935485262
0.0391,0.212,0.932,0.999,11.707618047755556,-4.006651927736625,4.305106962603032
0.0401,0.211,0.92,0.997,11.037138272858959,-8.578579464315055,4.010598259757337
0.0411,0.213,0.943,0.999,10.77095557389267,-5.97538564992395,4.101671739083289
0.0421,0.194,0.924,0.998,10.429040642657442,-6.708830398367516,3.9827448820752336
0.0431,0.199,0.937,0.998,9.841088516638123,-8.375392625656033,3.965579861342012
