OBSERVE_COST,BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.001,0.313,0.228,0.37,0.404,12.704275423533678,-0.996,3.0563054220436503
0.009,0.313,0.348,0.892,0.982,12.2297613445872,-7.2989999999999995,4.631150291296339
0.017,0.313,0.332,0.912,0.986,9.756841636497445,-5.292093258348878,3.850593958185431
0.025,0.313,0.328,0.892,0.99,10.436370871504499,-4.637260093506333,3.3342146399424846
0.033,0.313,0.328,0.88,0.984,7.777019416452887,-6.678413229810648,2.8048939497314014
0.041,0.313,0.288,0.916,0.986,7.69430616990398,-4.183818521725219,2.6258155679182025
0.049,0.313,0.352,0.886,0.992,10.635800720836214,-10.144328503848461,2.264095481299744
0.057,0.313,0.324,0.904,0.994,6.9099385139060585,-5.135463350678333,2.172300059212684
0.065,0.313,0.344,0.882,0.992,8.32323423263105,-9.553088515707925,1.8767287499590228
0.073,0.313,0.33,0.894,0.998,7.701794872541987,-6.072290781770851,1.7798265792679135
0.081,0.313,0.328,0.898,0.996,8.317798591957452,-8.658243130464088,1.5568963940762999
0.089,0.313,0.364,0.868,1.0,10.331846998235045,-6.017035623606656,1.5196332250204208
0.097,0.313,0.318,0.886,0.998,8.340818056254626,-9.254950454218008,1.3269152414888747
0.105,0.313,0.332,0.852,1.0,7.962637722856655,-4.229264006904809,1.199983542020054
0.113,0.313,0.376,0.88,1.0,6.507062444701466,-5.295192275408171,1.2559958090035523
0.121,0.313,0.33,0.848,1.0,7.80611391816189,-7.874751188459129,0.9883733667994009
0.129,0.313,0.344,0.866,1.0,7.352050003014383,-6.5173076501427385,0.9657590616576913
0.137,0.313,0.384,0.886,1.0,7.051155808171551,-5.274597750902972,1.00795731147631
0.145,0.313,0.32,0.864,1.0,5.234571327607419,-4.923676429913575,0.7836184288876077
0.153,0.313,0.352,0.866,1.0,7.245936431546296,-5.966702750677525,0.7205808413669771
0.161,0.313,0.348,0.856,1.0,6.000806482007699,-5.789457107874872,0.6594069165385786
0.169,0.313,0.364,0.866,1.0,5.9012820584536705,-6.3165944517252015,0.6302902239123632
0.177,0.313,0.326,0.858,1.0,6.894718812650998,-5.434757738249654,0.5350134325073861
0.185,0.313,0.328,0.878,1.0,8.306355623954321,-5.440664642371783,0.5795648831728913
0.193,0.313,0.366,0.886,1.0,6.177287541760744,-5.4211173896814255,0.566075518578999
0.201,0.313,0.354,0.876,1.0,5.664272704794106,-3.9478429103313744,0.5317090172394928
0.209,0.313,0.376,0.878,1.0,7.20093983168719,-5.025659590200521,0.4946584515880362
0.217,0.313,0.36,0.896,1.0,6.725792641062828,-7.379891562471685,0.3803671572835221
0.225,0.313,0.364,0.884,1.0,8.969451241125324,-5.959294731477606,0.41732721033044207
0.233,0.313,0.356,0.884,1.0,7.526071242796064,-7.319411148990071,0.32366718392187444
0.241,0.313,0.332,0.878,1.0,6.761888369381147,-8.13194636770132,0.20076208260232153
0.249,0.313,0.322,0.896,1.0,7.89406372937908,-4.585410653023252,0.25620353296044535
