OBSERVE_COST,BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.001,0.251,0.264,0.42,0.458,13.088750249689639,-0.994,3.055088578876855
0.009,0.251,0.35,0.924,0.982,9.561625516657458,-7.8389999999999995,4.030527319184626
0.017,0.251,0.35,0.894,0.976,9.990670596701667,-4.642873808509282,3.144353410152808
0.025,0.251,0.384,0.9,0.986,8.089683323034993,-6.098469172347814,2.834570760048654
0.033,0.251,0.332,0.922,0.99,7.062303659901088,-4.35630202854722,2.432758230202096
0.041,0.251,0.362,0.916,0.988,7.358182846456503,-5.601765913296276,2.0979524349781267
0.049,0.251,0.338,0.896,0.988,7.977486807183952,-5.8639509235688365,1.857698195724556
0.057,0.251,0.358,0.87,0.994,6.648281023388562,-3.9005975661347234,1.6732989863319347
0.065,0.251,0.366,0.882,0.996,8.336283119955741,-6.8838230971236065,1.4828077177833447
0.073,0.251,0.356,0.896,1.0,7.184366615359993,-5.061613541317522,1.3935242647411326
0.081,0.251,0.406,0.88,0.998,6.251805071655379,-4.463228295166093,1.349929291834513
0.089,0.251,0.412,0.898,1.0,6.384853104724995,-5.04052812159127,1.2161852576335266
0.097,0.251,0.39,0.876,0.998,6.1336253566394445,-7.916935325309284,1.0734490380382458
0.105,0.251,0.438,0.886,0.998,7.904563747142763,-5.198592977985544,1.053341658392064
0.113,0.251,0.386,0.878,1.0,7.712972677379754,-5.017920564552102,0.8917805384208659
0.121,0.251,0.378,0.854,1.0,6.898392878265593,-6.48744853553499,0.8050394001901093
0.129,0.251,0.376,0.866,1.0,8.947439734543671,-6.243852094811496,0.7492059541861055
0.137,0.251,0.414,0.896,0.998,6.863919385090124,-7.780271574528207,0.7129271294984375
0.145,0.251,0.36,0.872,0.998,6.944682026804116,-7.491818710140062,0.586375630732289
0.153,0.251,0.364,0.878,1.0,5.896435198609874,-4.1709251296383805,0.49905989796757444
0.161,0.251,0.364,0.894,1.0,7.781601078966307,-7.586591131048962,0.6035255611060217
0.169,0.251,0.354,0.894,1.0,5.720461879848893,-6.072510676099489,0.48078659755229286
0.177,0.251,0.394,0.862,1.0,5.324058833263455,-7.635694520282635,0.4295644414602861
0.185,0.251,0.424,0.888,1.0,5.855275435266181,-5.081967062605783,0.35001705416483053
0.193,0.251,0.388,0.862,1.0,4.499047493843731,-6.399939125293679,0.24186103818982518
0.201,0.251,0.36,0.834,1.0,6.624775970886951,-5.128090420238866,0.16801135564199543
0.209,0.251,0.36,0.882,1.0,4.951850713690146,-4.155295975357206,0.22174810307611958
0.217,0.251,0.384,0.892,1.0,8.667589132721394,-7.742295620003255,0.2400762661204148
0.225,0.251,0.358,0.898,1.0,6.409483116224145,-6.286138806882246,0.15867771426396748
0.233,0.251,0.39,0.902,1.0,7.612356988718066,-4.7887570456360296,0.23407154170688663
0.241,0.251,0.312,0.886,1.0,7.852594543843941,-8.106205780476754,-0.055066747973938755
0.249,0.251,0.368,0.888,1.0,4.998264646260878,-5.674944346560411,0.008736434947282466
0.257,0.251,0.382,0.998,1.0,5.402119620412299,-0.257,-0.00252585698982527
0.265,0.251,0.456,0.994,1.0,5.575567296445917,-0.265,0.0006050668609493475
0.273,0.251,0.434,1.0,1.0,7.77343922867451,-0.273,0.01809685228093886
0.281,0.251,0.416,0.996,1.0,5.443080269603861,-0.281,-0.03770768362890829
0.289,0.251,0.424,0.998,1.0,4.072316100686165,-0.289,-0.0816263191019269
0.297,0.251,0.454,0.998,1.0,3.802105768494727,-0.297,-0.057522808519733376
0.305,0.251,0.492,0.998,1.0,5.777811873468739,-0.305,-0.03779967026410294
0.313,0.251,0.512,0.996,1.0,4.637485462166233,-0.313,-0.05343707486644852
0.321,0.251,0.454,1.0,1.0,7.6062613137756205,-0.321,-0.0862093696598495
0.329,0.251,0.488,0.998,1.0,6.747010779321701,-0.329,-0.022852218446757135
0.337,0.251,0.502,0.998,1.0,4.435062405787681,-0.337,-0.09540818952165542
0.345,0.251,0.52,1.0,1.0,7.928214508524499,-0.345,-0.1177916052470992
0.353,0.251,0.542,1.0,1.0,4.465652656058295,-0.353,-0.08467902668335672
0.361,0.251,0.518,0.998,1.0,4.708630153246311,-0.361,-0.10550309415669676
0.369,0.251,0.524,1.0,1.0,3.851255491738434,-0.369,-0.08332901346928111
0.377,0.251,0.54,1.0,1.0,4.339589259505726,-0.377,-0.1571210358734795
0.385,0.251,0.588,1.0,1.0,2.9141729682565867,-0.385,-0.1796559415698536
0.393,0.251,0.58,1.0,1.0,4.401992196188294,-0.393,-0.17104726712139387
0.401,0.251,0.564,0.998,1.0,3.550885199574476,-0.401,-0.15059834605875763
0.409,0.251,0.582,1.0,1.0,3.677237746230122,-0.409,-0.18263819747968008
0.417,0.251,0.6,0.998,1.0,3.6327374202064435,-0.417,-0.1613423195385843
0.425,0.251,0.612,0.996,1.0,5.4174614880420195,-0.425,-0.17087840157487824
0.433,0.251,0.618,1.0,1.0,4.112073541823445,-0.433,-0.21188073544753286
0.441,0.251,0.62,0.998,1.0,5.323193353439288,-0.441,-0.21210712839399268
0.449,0.251,0.604,1.0,1.0,4.207125323513955,-0.449,-0.20125423972577075
