OBSERVE_COST,BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.001,0.063,0.44,0.536,0.546,10.832928169523935,-0.998,2.418004956783968
0.009,0.063,0.454,0.908,0.956,6.933908601841803,-6.101999999999999,1.9510148631856692
0.017,0.063,0.506,0.896,0.956,7.958859027094077,-6.096547372655127,1.356207584893746
0.025,0.063,0.468,0.826,0.952,7.052784745344206,-4.76102930693769,0.9231416973282117
0.033,0.063,0.476,0.804,0.976,5.663211569853662,-7.54227487839755,0.6316005663421448
0.041,0.063,0.446,0.77,0.994,5.523720693205813,-3.0455953618897293,0.5350348980296213
0.049,0.063,0.408,0.7,0.994,14.115531430793808,-5.296110933220655,0.30201751102659685
0.057,0.063,0.414,0.716,0.988,8.439417089222477,-7.680289816296573,0.20814294712686676
0.065,0.063,0.408,0.998,1.0,2.4167141284756894,-0.065,0.005473529273696384
0.073,0.063,0.382,1.0,1.0,2.6370798036655527,-0.073,-0.025644348730921914
0.081,0.063,0.474,0.998,1.0,3.918054793061845,-0.081,-0.01946407465307527
0.089,0.063,0.488,1.0,1.0,1.9504635269197093,-0.089,-0.029938101670703442
0.097,0.063,0.518,1.0,1.0,4.3537184079617886,-0.097,-0.01835499959367756
0.105,0.063,0.532,1.0,1.0,3.243557477963287,-0.105,-0.05347309989992687
0.113,0.063,0.564,0.998,1.0,2.853835210063937,-0.113,-0.03203272692966461
0.121,0.063,0.652,1.0,1.0,2.486599938812362,-0.121,-0.06587257728157983
0.129,0.063,0.658,1.0,1.0,4.649330179398049,-0.129,-0.07460733506033569
0.137,0.063,0.642,1.0,1.0,3.2501957319515555,-0.137,-0.03963728910073267
0.145,0.063,0.638,1.0,1.0,6.9295115133489436,-0.145,-0.038187798372714986
0.153,0.063,0.684,1.0,1.0,3.5967291330346707,-0.153,-0.09091832562103369
0.161,0.063,0.714,1.0,1.0,3.722434232099602,-0.161,-0.09995907812153088
0.169,0.063,0.726,1.0,1.0,4.148782205545697,-0.169,-0.12174397794520114
0.177,0.063,0.746,1.0,1.0,2.541040299741919,-0.177,-0.11683190178486327
0.185,0.063,0.738,1.0,1.0,3.8598676767428732,-0.185,-0.11811417912595758
0.193,0.063,0.752,1.0,1.0,5.581282246342525,-0.193,-0.14122061875854683
0.201,0.063,0.752,1.0,1.0,3.397209112700124,-0.201,-0.1414766285267004
0.209,0.063,0.768,1.0,1.0,7.255199404355901,-0.209,-0.1454615484726171
0.217,0.063,0.79,1.0,1.0,4.306424166202331,-0.217,-0.14012539350304393
0.225,0.063,0.756,1.0,1.0,2.5102625513935792,-0.225,-0.1669623536198915
0.233,0.063,0.764,1.0,1.0,5.922892127511421,-0.233,-0.15011191771871388
0.241,0.063,0.766,1.0,1.0,3.3752803712581962,-0.241,-0.1607664041930407
0.249,0.063,0.778,1.0,1.0,3.159550049355507,-0.249,-0.2115246841252899
0.257,0.063,0.802,1.0,1.0,5.077574250879403,-0.257,-0.19610227586412216
0.265,0.063,0.826,1.0,1.0,2.356793369124922,-0.265,-0.21604803988666754
0.273,0.063,0.828,1.0,1.0,5.019439034801027,-0.273,-0.18462960038163195
0.281,0.063,0.804,1.0,1.0,6.420652168170013,-0.281,-0.20581803678630944
0.289,0.063,0.818,1.0,1.0,5.602782215652919,-0.289,-0.19725719560038632
0.297,0.063,0.84,1.0,1.0,5.232841094897611,-0.297,-0.21299438065742476
0.305,0.063,0.83,1.0,1.0,4.816036686726449,-0.305,-0.20303080182288255
