OBSERVE_COST,BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.0001,0.1,0.099,0.124,0.205,13.628832335517275,-0.19990000000000002,0.9857582820837659
0.0001,0.5,0.044,0.089,0.171,22.484499984262303,-0.19970000000000002,2.268147893464572
0.001,0.8,0.051,0.239,0.304,36.793479526839064,-1.985,9.916789236025913
0.004,0.1,0.449,0.957,0.986,9.073183179394876,-6.0,3.4580331272842284
0.004,0.5,0.207,0.92,0.944,16.719859814612576,-7.629460100337434,8.262911316480983
0.004,0.8,0.1,0.61,0.715,31.627893152684116,-7.984,17.10262571091203
0.01,0.1,0.471,0.948,0.976,10.020539540323375,-4.6335214652032795,2.432329315612196
0.3,0.5,0.274,0.983,1.0,7.288606701559205,-7.318866065736177,0.6149945628258989
0.8,0.8,0.301,0.968,1.0,5.491175228245992,-0.8,-0.019998637676252158
