OBSERVE_COST,BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.001,0.438,0.162,0.336,0.386,15.350300514327811,-0.988,3.816906235949457
0.009,0.438,0.212,0.846,0.966,12.20775673794881,-7.361999999999999,5.929890395622418
0.017,0.438,0.248,0.856,0.99,12.688725455361679,-3.219604046044431,5.047938606169943
0.025,0.438,0.218,0.848,0.982,11.468548225089787,-6.310072303221202,4.303349296692693
0.033,0.438,0.218,0.898,0.994,10.049612392889358,-7.3089526491764545,3.9800223601200297
0.041,0.438,0.236,0.848,0.992,9.375170664040382,-4.713371253264557,3.4444219664300593
0.049,0.438,0.208,0.814,0.994,10.581214490441232,-3.65494610708485,3.0804702412647433
0.057,0.438,0.256,0.824,0.99,10.677901391049094,-5.678159250251677,2.966975097604456
0.065,0.438,0.23,0.842,0.996,8.282768692995731,-4.455366627900499,2.64284002875679
0.073,0.438,0.27,0.864,0.99,8.240719001779972,-13.185430775684702,2.5052856975688464
0.081,0.438,0.246,0.86,1.0,8.789145277770878,-5.472004147546434,2.4305813395000784
0.089,0.438,0.282,0.836,0.994,9.873463040322612,-9.52655111160783,2.131033124344595
0.097,0.438,0.284,0.862,1.0,8.84356958050094,-4.232468718874587,2.056164381932879
0.105,0.438,0.27,0.86,0.998,7.273365332830523,-11.502659805731183,2.030278768719551
0.113,0.438,0.278,0.88,1.0,7.230772433272393,-6.1775530220476345,1.9528550430317224
0.121,0.438,0.254,0.842,1.0,8.3159791288914,-7.3402628711947004,1.8219553154059507
0.129,0.438,0.274,0.876,1.0,6.812610244973408,-4.51346443929161,1.687764899674918
0.137,0.438,0.28,0.864,1.0,7.399624070980376,-4.979877370408992,1.6023817730033034
0.145,0.438,0.298,0.864,1.0,8.360303572562469,-7.229492083292243,1.4264122917140751
0.153,0.438,0.262,0.858,1.0,7.3854530554533655,-6.8488071549066465,1.3113756953419966
0.161,0.438,0.3,0.878,1.0,6.587261964608413,-6.629660133346107,1.3851557732936002
0.169,0.438,0.27,0.858,1.0,7.0371186069653096,-6.281514119783067,1.1635501289086574
0.177,0.438,0.274,0.874,1.0,6.917492032826454,-7.627213186940377,1.2624153912581961
0.185,0.438,0.294,0.856,1.0,6.654395095850914,-6.60210135284577,1.0446767555775893
0.193,0.438,0.296,0.844,1.0,6.512903354409751,-6.9835026308468215,0.8706507180897834
0.201,0.438,0.286,0.882,1.0,6.304131503375022,-7.043754071082917,0.8989814354997367
0.209,0.438,0.276,0.866,1.0,7.476348287902042,-5.272387353154349,0.9233962024228864
0.217,0.438,0.28,0.864,1.0,5.955897642091053,-5.200959899340608,0.8108947302273853
0.225,0.438,0.314,0.856,1.0,6.282367469721138,-7.8398283183666315,0.721298623359303
0.233,0.438,0.26,0.9,1.0,10.98098727979442,-4.9461560203759145,0.7909509204614291
0.241,0.438,0.32,0.878,1.0,5.935297544905618,-7.4459953394464415,0.7166507024402258
0.249,0.438,0.298,0.872,1.0,4.964901762251428,-7.6801958285931855,0.6516272293800821
0.257,0.438,0.278,0.86,1.0,6.143494681398021,-5.9656852636346915,0.6066773652630433
0.265,0.438,0.284,0.89,1.0,5.1130218308987665,-5.093352613860793,0.5835497066704914
0.273,0.438,0.336,0.906,1.0,8.048279905750121,-6.51484046520568,0.5558219227965604
0.281,0.438,0.282,0.886,1.0,4.5241077428826095,-9.405389729949285,0.45815625245210334
0.289,0.438,0.276,0.88,1.0,5.153584429252399,-5.517867216016008,0.464702665527005
0.297,0.438,0.284,0.89,1.0,4.592701875325148,-7.424855566107615,0.38073914103549045
0.305,0.438,0.32,0.892,1.0,5.21874280739655,-6.559383443074735,0.3859297554591749
0.313,0.438,0.32,0.894,1.0,6.194747283191042,-4.5896531747144635,0.375680439063435
0.321,0.438,0.312,0.896,1.0,5.427523401316892,-6.481137855481846,0.3173459951292014
0.329,0.438,0.328,0.902,1.0,5.325837575698582,-4.538231042340222,0.2842788268658987
0.337,0.438,0.298,0.904,1.0,6.654020113955607,-4.399278456520222,0.2501280331797471
0.345,0.438,0.36,0.922,1.0,8.58469576422363,-6.38766719787771,0.37331971726397045
0.353,0.438,0.306,0.908,1.0,5.8505231909683815,-7.688302315467179,0.21096570057330394
0.361,0.438,0.324,0.932,1.0,6.947321199595752,-5.346840276881808,0.26827550170561004
0.369,0.438,0.334,0.938,1.0,6.256868785404303,-4.031822586450651,0.15686064268342728
0.377,0.438,0.292,0.934,1.0,5.433023312129016,-6.130138570651846,0.16769496835030537
0.385,0.438,0.31,0.924,1.0,6.634983657854609,-6.436662863413677,0.07458501851904083
0.393,0.438,0.298,0.922,1.0,5.646315551083379,-4.416806841326463,0.07094802206121048
0.401,0.438,0.292,0.936,1.0,4.9962001016069175,-5.927840314928011,0.024231630969247502
0.409,0.438,0.328,0.918,1.0,7.493797229418279,-5.536571763247012,0.10263013079580201
0.417,0.438,0.292,0.948,1.0,6.320007057455076,-4.83024045828654,0.05116888146293111
0.425,0.438,0.332,0.942,1.0,7.574648452031542,-4.86927062891793,-0.037031177533488904
0.433,0.438,0.334,0.966,1.0,6.202411616203311,-5.001937984526836,0.10757610697544007
0.441,0.438,0.402,0.988,1.0,5.87587555004402,-0.441,0.015028623219814616
0.449,0.438,0.398,0.992,1.0,5.721678233358028,-0.449,-0.05442919629426885
0.457,0.438,0.406,0.988,1.0,4.860440982196454,-0.457,-0.04924531314165373
0.465,0.438,0.444,0.984,1.0,4.4298327374800595,-0.465,-0.03958085737692828
0.473,0.438,0.386,0.982,1.0,4.188863004351002,-0.473,-0.01979193143745245
0.481,0.438,0.44,0.984,1.0,4.593320293921655,-0.481,-0.03665343471784129
0.489,0.438,0.442,0.992,1.0,5.216442018788763,-0.489,-0.11579360513704769
0.497,0.438,0.458,0.99,1.0,5.6552348142969455,-0.497,-0.008056676166461866
