OBSERVE_COST,BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.001,0.813,0.036,0.114,0.222,38.96722753541785,-0.997,8.027574415220307
0.009,0.813,0.068,0.426,0.706,28.826629283628353,-8.946,14.484505118167675
0.017,0.813,0.05,0.43,0.92,25.916405218747787,-16.507,15.579255036249737
0.025,0.813,0.052,0.404,0.958,22.35033684118098,-21.089152738333684,13.878114030933096
0.033,0.813,0.05,0.378,0.958,20.39269666098968,-19.388771035133562,12.849411376867849
0.041,0.813,0.046,0.4,0.956,20.618906666068114,-23.700810038669125,11.786593663615381
0.049,0.813,0.04,0.378,0.956,18.952523744118228,-24.17752249238283,10.560392841625198
0.057,0.813,0.056,0.396,0.956,20.484056440269292,-13.786211098624978,10.108505007037923
0.065,0.813,0.042,0.396,0.968,18.525868634462157,-12.738472523938297,9.416837546172982
0.073,0.813,0.074,0.388,0.954,17.322282476309788,-18.37755061208425,8.676664098853411
0.081,0.813,0.074,0.412,0.974,16.240013304584394,-15.573963244241313,8.415514272061458
0.089,0.813,0.08,0.442,0.97,16.717506405248525,-14.3862912732458,7.9636870594986275
0.097,0.813,0.074,0.414,0.966,16.29443425380495,-22.287742575380864,7.441471543133451
0.105,0.813,0.062,0.424,0.984,14.59613967478909,-30.56752675519442,7.114943215361817
0.113,0.813,0.06,0.392,0.968,14.350767338187014,-29.84383735902278,6.817194310083552
0.121,0.813,0.044,0.408,0.986,14.520484253927382,-14.074814394121045,6.449295544978478
0.129,0.813,0.084,0.396,0.988,13.201400079318372,-10.654161529123202,6.575782298151569
0.137,0.813,0.082,0.472,0.984,12.49625883249683,-16.14007097190513,6.012979082407443
0.145,0.813,0.076,0.43,0.99,12.965406725830418,-9.238410889315217,5.574924465558576
0.153,0.813,0.082,0.462,0.986,12.868892410451377,-13.586240344317549,5.431243310522969
0.161,0.813,0.082,0.452,0.98,12.098717211068788,-21.236984433906077,4.846628281548047
0.169,0.813,0.08,0.456,0.992,12.989322399431709,-15.22136378047871,5.341684502385457
0.177,0.813,0.078,0.444,0.994,11.951933335396527,-11.859397338147225,4.7113084753811325
0.185,0.813,0.07,0.444,0.99,10.302169299005879,-16.545704155747863,4.369462375894695
0.193,0.813,0.068,0.466,0.992,10.924098359989898,-13.508351108089133,4.329963694461162
0.201,0.813,0.078,0.458,0.998,12.208476072637136,-9.924383192897835,4.347685249969999
0.209,0.813,0.096,0.472,0.992,13.991753537891016,-15.278732179031934,4.019949041905775
0.217,0.813,0.068,0.49,1.0,10.963427330755385,-15.673828077524012,3.934705884345058
0.225,0.813,0.082,0.438,0.994,11.637062472530934,-14.0080150028598,3.6671885673532
0.233,0.813,0.078,0.478,0.996,11.674367900683187,-10.443959265315986,3.7777971726622686
0.241,0.813,0.068,0.474,1.0,11.302930405260495,-10.957821482280888,3.395102529969151
0.249,0.813,0.064,0.45,0.998,11.49564289449525,-12.099875339698539,3.2560414171111263
0.257,0.813,0.092,0.514,0.998,10.764016959281859,-18.746945615892574,3.1684582799967154
0.265,0.813,0.076,0.482,1.0,13.911495380583434,-14.70658157374385,3.194685600957016
0.273,0.813,0.076,0.478,1.0,11.85947126882203,-19.251061293902733,2.894402561444748
0.281,0.813,0.07,0.464,1.0,11.624398233136386,-15.760827231773334,2.7266234089744463
0.289,0.813,0.1,0.522,1.0,8.277997941742393,-10.280608175028766,2.774283253134139
0.297,0.813,0.092,0.514,1.0,8.524155447500394,-11.42709356773666,2.7779562441327474
0.305,0.813,0.106,0.504,1.0,8.208630696468823,-16.02388327678393,2.126941043960625
0.313,0.813,0.098,0.51,1.0,9.694148334158472,-14.423767396604235,2.3857735442884973
0.321,0.813,0.106,0.522,1.0,11.47024031869904,-12.196411405496113,2.4221800383824568
0.329,0.813,0.094,0.484,1.0,9.437521292001321,-9.82524988572652,2.111035429924012
0.337,0.813,0.088,0.534,1.0,11.923533158250198,-11.318606282335269,2.251915100708194
0.345,0.813,0.082,0.518,1.0,8.087612189811308,-12.14146663370666,2.118515416367354
0.353,0.813,0.114,0.544,1.0,8.6481032233619,-13.671487669390137,1.905170791479148
0.361,0.813,0.088,0.536,1.0,10.711481872364596,-10.889737093140935,1.827715756944639
0.369,0.813,0.104,0.558,1.0,8.196199659505467,-10.795696233595422,1.877609696193949
0.377,0.813,0.092,0.506,1.0,8.779081322786647,-9.240902458379285,1.7714788242676418
0.385,0.813,0.128,0.56,1.0,7.529247784271011,-7.705840576962405,1.8760872335503134
0.393,0.813,0.114,0.546,1.0,9.0854753383461,-9.659367335481772,1.5429453463777472
0.401,0.813,0.122,0.534,1.0,8.172780299466709,-10.260538309081603,1.5320546108908892
0.409,0.813,0.094,0.546,1.0,7.164354954815218,-11.204094413415627,1.5878023321610575
0.417,0.813,0.106,0.57,1.0,8.204969660630912,-13.60724157817995,1.4422134470646673
0.425,0.813,0.098,0.558,1.0,7.693177563785793,-8.738647452701713,1.4276891395604807
0.433,0.813,0.144,0.59,1.0,6.134752141604891,-13.47157608141927,1.3289244331084358
0.441,0.813,0.112,0.568,1.0,7.46899099805792,-10.50870574360695,1.3761658448450957
0.449,0.813,0.126,0.584,1.0,8.371265406718202,-10.920742033256127,1.1655876681960766
0.457,0.813,0.12,0.616,1.0,7.292117650532215,-8.665899168036116,1.2824243965930557
0.465,0.813,0.116,0.586,1.0,8.988340550202977,-11.622737591229807,0.9870092945383347
0.473,0.813,0.13,0.588,1.0,6.962792039496678,-8.742097617655853,1.1751935474971311
0.481,0.813,0.106,0.57,1.0,11.20830510281219,-8.93429888599205,1.0881024274890785
0.489,0.813,0.122,0.588,1.0,8.356620780680114,-10.536152198774905,0.8963277813242725
0.497,0.813,0.15,0.646,1.0,7.842061998408681,-9.69208439936224,0.8672569690565158
0.505,0.813,0.112,0.596,1.0,6.811145917114821,-9.244521253041707,0.9297617391586772
0.513,0.813,0.104,0.662,1.0,5.480811956675909,-10.326530953076167,0.8232547801452286
0.521,0.813,0.108,0.634,1.0,10.247787655958932,-15.673246445556625,0.8351453008947528
0.529,0.813,0.132,0.63,1.0,6.80660303684488,-9.536895075507271,0.7101861264477803
0.537,0.813,0.12,0.63,1.0,9.254394625771987,-8.578373885729665,0.6269547635719046
0.545,0.813,0.116,0.596,1.0,7.347629850849188,-7.882465236404496,0.6604548069285755
0.553,0.813,0.154,0.63,1.0,7.246625273876369,-11.051803003070324,0.5158207482852754
0.561,0.813,0.11,0.618,1.0,7.028024616234502,-6.92341672030362,0.645986112942291
0.569,0.813,0.126,0.624,1.0,6.838008027136348,-5.958229076572696,0.555828825664515
0.577,0.813,0.124,0.702,1.0,6.0689768932881485,-7.0103317158868546,0.6082877987649836
0.585,0.813,0.154,0.698,1.0,6.4959967667438585,-8.75542289982658,0.7139844577264349
0.593,0.813,0.148,0.65,1.0,7.323280395910004,-8.295966113725402,0.47065340170895353
0.601,0.813,0.178,0.712,1.0,5.8564175840704245,-10.340671577470241,0.5591073981020539
0.609,0.813,0.146,0.654,1.0,4.188201169149504,-5.060519019272705,0.4891095518662274
0.617,0.813,0.138,0.654,1.0,5.260888612713053,-9.481905103052188,0.21968497973077494
0.625,0.813,0.18,0.666,1.0,6.4763517128766255,-7.537679434255395,0.368237965496233
0.633,0.813,0.158,0.71,1.0,6.648176799652254,-6.9507050972142785,0.4205760344973014
0.641,0.813,0.182,0.706,1.0,8.044633096140355,-10.022175470652613,0.4059057782465497
0.649,0.813,0.186,0.738,1.0,5.762780690770035,-5.388485587314543,0.391492830610116
0.657,0.813,0.18,0.68,1.0,6.597838228146504,-8.266838044195346,0.271118201022023
0.665,0.813,0.158,0.702,1.0,7.137799811359533,-7.473391020493954,0.2533988261809106
0.673,0.813,0.192,0.69,1.0,5.33375800222551,-6.801728870204149,0.2433794980035369
0.681,0.813,0.17,0.7,1.0,10.308084989330705,-5.85765168468882,0.28423751006213493
0.689,0.813,0.194,0.772,1.0,5.406436556786872,-4.596800525635035,0.31619207122134685
0.697,0.813,0.186,0.712,1.0,5.9512767512970255,-6.013361712447352,0.21205624642985846
0.705,0.813,0.222,0.76,1.0,10.110045053701837,-5.106210080438389,0.25146907931224755
0.713,0.813,0.208,0.74,1.0,5.036432235582034,-5.477672161041239,0.19561640847928424
