REPEAT_COUNT,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
50.0,0.32,0.54,0.62,0.9999563863716902,0.0038390474091766214,0.7608735192896035
100.0,0.34,0.62,0.65,0.9999854732993236,0.023163119821001055,0.8175596247741901
150.0,0.4533333333333333,0.6866666666666666,0.74,0.9999950599581109,0.0183372935084275,0.8523953205219235
200.0,0.435,0.715,0.74,0.9999799642098214,0.02676767403330904,0.8505862770882
250.0,0.368,0.64,0.664,0.999998043375607,0.0029028002389334118,0.8103192176654621
300.0,0.4033333333333333,0.6266666666666667,0.6666666666666666,0.9999952231577919,0.007216095354233398,0.8044983178379528
350.0,0.3514285714285714,0.5685714285714286,0.6085714285714285,0.9999997217369135,0.0031005833356227974,0.7760164467905079
400.0,0.3775,0.615,0.6575,0.9999964275698051,0.0040203640883129665,0.7974033259179201
450.0,0.3511111111111111,0.6622222222222223,0.6844444444444444,0.9999946092247677,0.00026434061640445705,0.835861292944977
500.0,0.344,0.582,0.624,0.9999996143170331,0.00014789470724829723,0.7835279946409232
550.0,0.35818181818181816,0.6254545454545455,0.649090909090909,0.9999985437317553,0.0015808164678969838,0.8141185594836721
600.0,0.3616666666666667,0.6633333333333333,0.705,0.9999997382500234,0.0052973556615421025,0.832420529050975
650.0,0.38769230769230767,0.6353846153846154,0.6753846153846154,0.9999930348205285,0.003324736266855366,0.8168681824231138
700.0,0.3485714285714286,0.62,0.6571428571428571,0.9999890651158282,0.0043732264932760945,0.7989366805978824
750.0,0.34933333333333333,0.612,0.6533333333333333,0.9999997845759072,7.1208240853049e-05,0.8030966320220023
800.0,0.39375,0.64375,0.67375,0.9999998373100137,0.010915583706012533,0.8160399357823492
850.0,0.37411764705882355,0.6423529411764706,0.6823529411764706,0.999997550085093,0.002614524915491745,0.8305841451657151
900.0,0.3811111111111111,0.6511111111111111,0.6766666666666666,0.9999991508391892,0.012799909139705856,0.8186346831808865
