OBSERVE_COST,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.0001,0.59,1.0,1.0,0.9978383830344434,0.945674578951785,0.9838110084610894
0.0011,0.63,1.0,1.0,0.9961313711402549,0.8401890152996834,0.9527352962588472
0.0021,0.68,1.0,1.0,0.9940490361989757,0.7752821230940709,0.9273712499514356
0.0031,0.61,1.0,1.0,0.9962952040424458,0.7982489361454491,0.9230833842686792
0.0041,0.66,1.0,1.0,0.9906394350595576,0.6826661972333927,0.9097285779549849
0.0051,0.69,1.0,1.0,0.9915122563729865,0.6566420235550519,0.907373720817872
0.0061,0.71,1.0,1.0,0.9857127256627624,0.7573772442340856,0.8998099366933968
0.0071,0.62,1.0,1.0,0.9891347537254427,0.6727735800518342,0.8898886528923975
0.0081,0.71,1.0,1.0,0.9900576410513741,0.6665504679652222,0.8890896263358872
0.0091,0.59,1.0,1.0,0.994435874846459,0.5241188711256757,0.8637582204892973
0.0101,0.72,1.0,1.0,0.9920495182649154,0.6336528627434004,0.8813910029008981
0.0111,0.75,0.99,1.0,0.9975815367853639,0.4007164949061858,0.8517527293670086
0.0121,0.73,1.0,1.0,0.9832057173953015,0.6414069886842955,0.8581970243332825
0.0131,0.83,1.0,1.0,0.9941018744309709,0.635988377490834,0.8642949416042482
0.0141,0.68,1.0,1.0,0.995545508013426,0.47315605546536893,0.8490905361516218
0.0151,0.7,1.0,1.0,0.967106235077901,0.4576559033481465,0.8363822781567061
0.0161,0.78,1.0,1.0,0.9958439669591715,0.5081909160867446,0.8445574862052599
0.0171,0.7,1.0,1.0,0.9718224180672274,0.4681976824399242,0.8133427955854258
0.0181,0.72,1.0,1.0,0.9830432358976396,0.4631465751240987,0.8250745450915217
0.0191,0.7,1.0,1.0,0.9987306992086944,0.3466517599977142,0.813188485096555
0.0201,0.71,1.0,1.0,0.9956467312734022,0.501470353649085,0.8091744723805909
0.0211,0.74,1.0,1.0,0.9972444270141722,0.4664403746449416,0.8251397655043203
0.0221,0.78,1.0,1.0,0.9978256088900027,0.46564457804244797,0.8323344480905301
0.0231,0.65,1.0,1.0,0.9940880255112748,0.25703008552415607,0.7911131161504621
0.0241,0.65,1.0,1.0,0.9971532835097894,0.39614536956978086,0.7974152975035149
0.0251,0.69,1.0,1.0,0.998849749280668,0.40525814139238414,0.7947176797235129
0.0261,0.7,1.0,1.0,0.971086994658988,0.32873533924489806,0.805937608152473
0.0271,0.74,1.0,1.0,0.9991978841387376,0.4365480368839464,0.8038840705911415
0.0281,0.67,1.0,1.0,0.9981788974803354,0.4714053248514174,0.7932446469692007
0.0291,0.69,1.0,1.0,0.9906028913217103,0.5031610200950123,0.8040886740300246
0.0301,0.7,1.0,1.0,0.9944154613128801,0.3677820737925347,0.7852174994866329
0.0311,0.73,1.0,1.0,0.9906963372040369,0.4250411099125341,0.7786314517225041
0.0321,0.72,1.0,1.0,0.9979227432465438,0.48135993831168455,0.8027497549536804
0.0331,0.72,1.0,1.0,0.9981164955246237,0.44658689460699685,0.7901199937440622
0.0341,0.64,1.0,1.0,0.9923310521015674,0.09959148495695913,0.7547484098074491
0.0351,0.66,1.0,1.0,0.996382925940819,0.43349256639883677,0.7736437319179259
0.0361,0.74,1.0,1.0,0.9899613629503323,0.35276814435564907,0.7591518544060429
0.0371,0.68,1.0,1.0,0.9899748681740174,0.1842430644823333,0.7489190978281706
0.0381,0.75,1.0,1.0,0.9991472896188255,0.2866340150662904,0.7580471619819786
0.0391,0.81,1.0,1.0,0.9902201864316781,0.1280647039250974,0.7749617509416622
0.0401,0.71,1.0,1.0,0.9883574361634233,0.30330109324984433,0.7345440145363236
0.0411,0.71,1.0,1.0,0.9888142104782695,0.2908724908289563,0.7560905609170225
0.0421,0.67,1.0,1.0,0.9933967519410889,0.34586899397413995,0.7735754076705114
0.0431,0.74,1.0,1.0,0.9899029123585195,0.16330325416696423,0.7467550928606765
0.0441,0.75,1.0,1.0,0.9520419338507933,0.2397440474742193,0.7414587776671437
0.0451,0.8,1.0,1.0,0.9905860755709295,0.34738632663787095,0.7668078497209337
0.0461,0.75,1.0,1.0,0.9959865965205417,0.3273018361936045,0.7601085403387635
0.0471,0.7,0.99,1.0,0.975470920106624,-0.29402819689575277,0.7385961488915777
0.0481,0.66,1.0,1.0,0.9947211203482879,0.12748508524036306,0.7202759227346576
0.0491,0.66,1.0,1.0,0.9910136740277573,-0.11341087496948232,0.7580696182328834
0.0501,0.73,0.99,1.0,0.9949250336836348,-0.18646090967588536,0.7345655320786015
0.0511,0.75,1.0,1.0,0.9912403201004066,0.20106836572309572,0.7323538009469232
0.0521,0.76,1.0,1.0,0.9866247686884435,0.19020517396159708,0.7441681629433584
0.0531,0.71,1.0,1.0,0.9650654747083582,0.29421824784234635,0.7333444375024095
0.0541,0.74,1.0,1.0,0.9921879826323068,0.23140900176054813,0.7234230591855025
0.0551,0.76,1.0,1.0,0.9948607293199018,0.165028678006219,0.7400008583809131
0.0561,0.71,1.0,1.0,0.9910854244831585,-0.09181964166775014,0.7086393914976781
0.0571,0.71,1.0,1.0,0.992320245173769,0.125987282185961,0.7227851825241999
0.0581,0.73,1.0,1.0,0.9851937331643573,0.2614562271389024,0.6967388745191293
0.0591,0.78,1.0,1.0,0.98792336839569,0.10300638740957324,0.7198919966686264
0.0601,0.74,1.0,1.0,0.9859832945659063,0.37335041368882393,0.7354432025254906
0.0611,0.73,0.99,1.0,0.9989538720233604,-0.3109842387617354,0.7006167542904774
0.0621,0.72,1.0,1.0,0.9700009265398296,0.2267790212772577,0.7300894120102731
0.0631,0.72,1.0,1.0,0.9306270312971477,0.04036144117822826,0.6867693829925833
0.0641,0.8,1.0,1.0,0.9980913172201449,0.1638980167816041,0.7097627710539345
0.0651,0.76,1.0,1.0,0.9973720266283645,-0.004241485277756474,0.7252526125898119
0.0661,0.78,1.0,1.0,0.9985789099538003,0.14770343795121244,0.7065453911359818
0.0671,0.71,1.0,1.0,0.9930470970049811,0.1429961982130663,0.7023784318808284
0.0681,0.78,1.0,1.0,0.9999725213200819,-0.018494119013030996,0.7207454946233526
0.0691,0.69,1.0,1.0,0.9997107644214068,0.028272836099764165,0.6495928901088748
0.0701,0.69,1.0,1.0,0.9880353751812384,0.27981767770857996,0.7200877189180573
0.0711,0.72,1.0,1.0,0.9834789035213974,0.20784607092426505,0.6970556186054034
0.0721,0.77,1.0,1.0,0.9931770501415148,-0.01986816226607535,0.6955947957881367
0.0731,0.71,1.0,1.0,0.9979395949284716,-0.011129935308255123,0.7073966157995716
0.0741,0.77,1.0,1.0,0.997064799453423,-0.34106292249229986,0.701601625299946
0.0751,0.71,1.0,1.0,0.9994517679487995,0.09157496064268789,0.6912555262462867
0.0761,0.65,1.0,1.0,0.9901517559811107,0.13092081791615806,0.6509641971176723
0.0771,0.62,1.0,1.0,0.9975096426977731,0.0772479715067722,0.678607127288912
0.0781,0.77,1.0,1.0,0.995435188497902,0.20645399806060005,0.6886559962441494
0.0791,0.75,1.0,1.0,0.9886951056761941,-0.09367132226225128,0.7058246853094413
0.0801,0.8,1.0,1.0,0.9964266452398132,0.15074941726136437,0.6944766344598687
0.0811,0.71,1.0,1.0,0.995149107196172,0.23299467701255605,0.6685960555495754
0.0821,0.74,1.0,1.0,0.9951461578259523,0.22010264228346854,0.6738700310121157
0.0831,0.76,1.0,1.0,0.990428023245293,-0.2266424020424722,0.6709210412433277
0.0841,0.74,1.0,1.0,0.9972516344762665,-0.20783529393461075,0.6860082938804812
0.0851,0.8,1.0,1.0,0.9897497426289393,-0.0731853886047199,0.6864816164628391
0.0861,0.72,1.0,1.0,0.9883043005672687,-0.25443747106065906,0.6640245893650151
0.0871,0.74,1.0,1.0,0.9868762437214372,-0.03253143648808787,0.6649828374748106
0.0881,0.76,1.0,1.0,0.9948175056326471,-0.15062733141173246,0.6824218188898776
0.0891,0.72,1.0,1.0,0.9984715929617004,-0.18888954223862553,0.6482827950202542
0.0901,0.73,1.0,1.0,0.9898873231687421,-0.17715126311167495,0.652352609903375
