BERNOULLI,Rate1,Rate1pct,Rate10pct,Selet_Value_high,Select_Value_low,Select_Value_aver
0.373,0.325,0.94,0.968,12.19353749347065,-7.0680000000000005,6.461255746735037
0.376,0.299,0.941,0.968,16.130368912887448,-7.784,6.452897936454579
0.379,0.319,0.953,0.976,12.998470808547205,-6.992,6.740545042121092
0.382,0.298,0.951,0.969,13.779398564739514,-7.996,6.6018063653767145
0.385,0.291,0.948,0.971,12.938041081877826,-7.872,6.709451064362797
0.388,0.275,0.948,0.966,14.060158573626138,-7.904,6.61077912856605
0.391,0.288,0.938,0.964,13.234109627992057,-7.456,6.670494625549165
0.394,0.286,0.948,0.969,16.68551393737466,-7.104,6.8294267548750875
0.397,0.293,0.943,0.965,13.888598041858268,-7.776,6.7614858005960805
0.4,0.249,0.927,0.962,13.963639872710315,-7.58,6.709838441309103
0.403,0.255,0.949,0.979,14.609553565076162,-7.0,6.947782500866655
0.406,0.263,0.937,0.963,13.538310719847573,-7.936,6.85115827465329
0.409,0.273,0.946,0.969,13.743674754610137,-7.492,6.945943283788494
0.412,0.27,0.937,0.969,15.477806846130385,-7.385972922700541,7.008199792596425
0.415,0.278,0.94,0.962,14.627370565155116,-7.968,6.940098755708117
0.418,0.276,0.947,0.971,14.903461950294792,-7.112,7.145423131113949
0.421,0.251,0.937,0.959,15.127564474690347,-6.94,7.059886635748382
0.424,0.245,0.949,0.97,15.394954440486373,-7.752,7.222232602744316
0.427,0.272,0.94,0.971,14.933761510031953,-7.0307988415498,7.258112030820283
0.43,0.232,0.93,0.966,15.362056598265612,-7.0680000000000005,7.230938940287312
0.433,0.24,0.928,0.952,14.623122206528947,-6.7271852983976395,7.0948870173395155
0.436,0.249,0.929,0.952,16.79408401915322,-7.508,7.119249823853435
0.439,0.21,0.937,0.958,14.479561962569246,-7.988,7.20998523418682
0.442,0.24,0.932,0.958,14.202938895342692,-7.04,7.329397660166891
0.445,0.237,0.931,0.957,14.536112669964412,-7.476,7.346678061372555
0.448,0.248,0.927,0.952,15.144555156976041,-7.896,7.313347598717519
0.451,0.257,0.937,0.963,14.800361776654528,-7.956,7.567734567095717
0.454,0.217,0.936,0.961,14.267870030730124,-7.204,7.563184652994726
0.457,0.257,0.926,0.948,14.826760437759534,-7.188,7.527760660975803
0.46,0.252,0.934,0.96,14.419256445199327,-7.44,7.582472823302128
0.463,0.233,0.917,0.945,17.190181377447928,-7.899567719874435,7.522244113740482
0.466,0.226,0.915,0.948,15.193170603218183,-6.956,7.577229231732074
0.469,0.226,0.922,0.95,17.28093118487098,-7.5840000000000005,7.749435634086319
0.472,0.223,0.92,0.946,15.44347309100844,-7.96,7.667463754136317
0.475,0.241,0.939,0.96,15.293791132970467,-7.071116046250851,7.863052490117739
0.478,0.222,0.931,0.952,14.24277663207357,-7.828,7.941947112961737
0.481,0.236,0.921,0.948,16.119289475737695,-7.82,7.993210220065263
0.484,0.23,0.928,0.945,15.09867532753611,-7.252,8.01846527283876
0.487,0.234,0.922,0.95,16.385707870654393,-7.84,8.042328607605905
0.49,0.235,0.916,0.941,15.36176263836338,-7.148000000000001,7.942713026179175
0.493,0.21,0.919,0.946,18.370203403819556,-7.992,8.067022707627416
0.496,0.21,0.919,0.941,16.605126647250604,-7.968,8.11033816862903
0.499,0.231,0.921,0.944,16.585612788245204,-7.6000000000000005,8.18957374108057
0.502,0.204,0.916,0.941,16.8850774448237,-7.868,8.200705824563618
0.505,0.221,0.918,0.943,14.879866039439413,-7.96,8.321803873818176
0.508,0.211,0.925,0.952,16.8068652422871,-7.96,8.472868660578396
0.511,0.24,0.918,0.936,15.918051087526104,-7.2242343553328245,8.39725658674845
0.514,0.203,0.908,0.943,18.1984545491526,-7.816,8.521419348227598
0.517,0.204,0.906,0.93,15.294043251396959,-7.96,8.35266412600875
0.52,0.195,0.92,0.949,17.75421178264939,-7.752,8.642583899531687
0.523,0.211,0.926,0.949,16.633610913261062,-7.5360000000000005,8.77897951583951
0.526,0.206,0.932,0.947,15.617042793427714,-7.492,8.7774383627304
0.529,0.191,0.902,0.936,14.819101514269603,-7.976,8.713616507594509
0.532,0.234,0.925,0.946,16.586387654622346,-6.588,8.931452288402827
0.535,0.211,0.932,0.946,16.02377435726774,-7.84,9.17065485976078
0.538,0.193,0.905,0.932,17.097463841620055,-7.6000000000000005,8.818942595299028
0.541,0.217,0.912,0.927,17.779999261023463,-7.772,8.98724856385987
0.544,0.199,0.891,0.926,18.08778078522458,-7.876,8.850460787999321
0.547,0.184,0.889,0.921,16.429652509274618,-7.672000000000001,8.862246908286624
0.55,0.185,0.899,0.927,16.00626407308477,-7.5520000000000005,9.057531437738781
0.553,0.178,0.917,0.939,17.885378505346228,-7.613041700188196,9.381752405116867
0.556,0.194,0.887,0.912,18.78730986960209,-7.88,8.979015166595218
0.559,0.194,0.893,0.915,16.917775613490875,-7.856,9.141086473794543
0.562,0.202,0.909,0.935,18.2370624949065,-7.495619079285276,9.512151098662592
0.565,0.182,0.886,0.909,15.876505438099748,-7.328,9.122876317514645
0.568,0.153,0.912,0.93,18.74607722151933,-7.764,9.57360464691704
0.571,0.176,0.894,0.915,17.76078559491777,-7.756,9.51281839823988
0.574,0.172,0.9,0.925,19.659210475918087,-7.476,9.659520193175728
0.577,0.161,0.887,0.907,20.043710975674674,-7.812,9.510153822414495
0.58,0.182,0.879,0.9,18.326952500885778,-7.664000000000001,9.556777969937496
0.583,0.168,0.892,0.913,18.783880686452424,-7.928,9.706571769932253
0.586,0.172,0.902,0.918,17.804497815277884,-7.434103457227978,9.957819477979593
0.589,0.164,0.902,0.919,17.031929052330614,-7.804,9.991757781268745
0.592,0.172,0.885,0.915,17.42277219988733,-7.944,9.943042085552987
0.595,0.168,0.883,0.909,18.25189651061787,-7.524,9.957153382252246
0.598,0.191,0.885,0.915,18.520773701165368,-7.336,10.239985189254527
0.601,0.167,0.875,0.908,19.26954279913817,-7.640000000000001,10.11024439551515
0.604,0.168,0.886,0.912,17.978843609450898,-7.94,10.327844705426894
